Time,Load,PV,wind
2025-01-01 00:00:00,5.086,0,6643461.22
2025-01-01 00:15:00,5.032,0,7199344.806
2025-01-01 00:30:00,4.978,0,8133747.436
2025-01-01 00:45:00,4.887,0,8158162.472
2025-01-01 01:00:00,5.086,0,6849912.67
2025-01-01 01:15:00,5.032,0,6501007.879
2025-01-01 01:30:00,4.978,0,7092125.333
2025-01-01 01:45:00,4.959,0,7326931.672
2025-01-01 02:00:00,4.941,0,7476306.912
2025-01-01 02:15:00,4.887,0,7673005.125
2025-01-01 02:30:00,4.923,0,6862830.679
2025-01-01 02:45:00,4.941,0,6615009.306
2025-01-01 03:00:00,4.905,0,9171881.676
2025-01-01 03:15:00,4.905,0,7377268.846
2025-01-01 03:30:00,4.887,0,6110819.426
2025-01-01 03:45:00,4.887,0,5404527.299
2025-01-01 04:00:00,4.905,0,4417991.798
2025-01-01 04:15:00,4.959,0,3325837.854
2025-01-01 04:30:00,4.978,0,2718718.215
2025-01-01 04:45:00,4.996,0,3258483.895
2025-01-01 05:00:00,5.014,0,3794427.855
2025-01-01 05:15:00,5.25,0,3701266.585
2025-01-01 05:30:00,5.376,0,3290534.91
2025-01-01 05:45:00,5.685,0,2708383.808
2025-01-01 06:00:00,5.704,0,2419843.337
2025-01-01 06:15:00,4.978,0,2323197.494
2025-01-01 06:30:00,6.176,0,2191357.254
2025-01-01 06:45:00,6.103,0,2123092.755
2025-01-01 07:00:00,5.94,0,2123284.133
2025-01-01 07:15:00,5.722,0,1442949.63
2025-01-01 07:30:00,5.358,0,928733.0427
2025-01-01 07:45:00,4.85,0.374253,733428.4206
2025-01-01 08:00:00,4.215,0.383392,709286.0976
2025-01-01 08:15:00,4.269,0.398387,621902.9454
2025-01-01 08:30:00,4.523,0.482138,472628.178
2025-01-01 08:45:00,4.796,0.696672,312703.2301
2025-01-01 09:00:00,5.086,0.858013,222033.5933
2025-01-01 09:15:00,5.486,1.077768,173612.5906
2025-01-01 09:30:00,5.922,2.085965,155347.9616
2025-01-01 09:45:00,6.194,3.209143,223974.8829
2025-01-01 10:00:00,6.43,3.223139,317863.2569
2025-01-01 10:15:00,6.558,2.461641,416693.2003
2025-01-01 10:30:00,6.63,3.360758,536615.3812
2025-01-01 10:45:00,6.812,2.267579,769137.3246
2025-01-01 11:00:00,6.939,3.882013,1009434.714
2025-01-01 11:15:00,7.03,6.764395,938844.0757
2025-01-01 11:30:00,6.993,6.544406,1026006.545
2025-01-01 11:45:00,7.193,12.974322,1140481.633
2025-01-01 12:00:00,7.157,10.010603,1206477.407
2025-01-01 12:15:00,6.994,6.061156,1142977.32
2025-01-01 12:30:00,6.83,6.823564,848812.7317
2025-01-01 12:45:00,6.794,7.19156,645736.6714
2025-01-01 13:00:00,6.757,11.551525,546720.1346
2025-01-01 13:15:00,6.648,9.034701,385589.5059
2025-01-01 13:30:00,6.394,10.785073,290139.7749
2025-01-01 13:45:00,6.176,13.338838,262649.9657
2025-01-01 14:00:00,5.994,11.948656,269744.1054
2025-01-01 14:15:00,5.667,11.534683,675821.2784
2025-01-01 14:30:00,5.105,15.166502,1513633.565
2025-01-01 14:45:00,5.032,13.618952,2049316.572
2025-01-01 15:00:00,4.669,12.812905,1723648.788
2025-01-01 15:15:00,4.323,10.788668,1091978.995
2025-01-01 15:30:00,4.069,10.725304,528132.5554
2025-01-01 15:45:00,3.996,10.87158,283364.997
