Time,Load,pv,PV,wind
2025-01-01 00:00:00+00:00,5.086,-0.75,-0.75,26573844.88012148
2025-01-01 00:15:00+00:00,5.032,-0.75,-0.75,28797379.222278263
2025-01-01 00:30:00+00:00,4.978,-0.75,-0.75,32534989.743578065
2025-01-01 00:45:00+00:00,4.887,-0.75,-0.75,32632649.889457203
2025-01-01 01:00:00+00:00,5.086,-0.75,-0.75,27399650.679405067
2025-01-01 01:15:00+00:00,5.032,-0.75,-0.75,26004031.51573945
2025-01-01 01:30:00+00:00,4.978,-0.75,-0.75,28368501.332967833
2025-01-01 01:45:00+00:00,4.959,210.71279301642605,210.71279301758443,29307726.686546065
2025-01-01 02:00:00+00:00,4.941,1002.0098380456648,1002.0098380439828,29905227.64960546
2025-01-01 02:15:00+00:00,4.887,1875.11793266527,1875.1179326598676,30692020.500356503
2025-01-01 02:30:00+00:00,4.923,2500.0,2500.0,27451322.714261748
2025-01-01 02:45:00+00:00,4.941,2500.0,2500.0,26460037.22334964
2025-01-01 03:00:00+00:00,4.905,2500.0,2500.0,36687526.70477702
2025-01-01 03:15:00+00:00,4.905,2099.1434436996524,2099.1434436836316,29509075.382370926
2025-01-01 03:30:00+00:00,4.887,1586.4112026307166,1586.411202621433,24443277.702893447
2025-01-01 03:45:00+00:00,4.887,869.2225098986469,869.2225098969691,21618109.19710449
2025-01-01 04:00:00+00:00,4.905,193.1377505239141,193.1377505228909,17671967.19046204
2025-01-01 04:15:00+00:00,4.959,-0.75,-0.75,13303351.415168323
2025-01-01 04:30:00+00:00,4.978,-0.75,-0.75,10874872.858553967
2025-01-01 04:45:00+00:00,4.996,-0.75,-0.75,13033935.578427047
2025-01-01 05:00:00+00:00,5.014,-0.75,-0.75,15177711.419565322
2025-01-01 05:15:00+00:00,5.25,-0.75,-0.75,14805066.339854812
2025-01-01 05:30:00+00:00,5.376,-0.75,-0.75,13162139.638243683
2025-01-01 05:45:00+00:00,5.685,-0.75,-0.75,10833535.230668627
2025-01-01 06:00:00+00:00,5.704,-0.75,-0.75,9679373.349877283
2025-01-01 06:15:00+00:00,4.978,-0.75,-0.75,9292789.977986567
